biden,date,moe,poll,sample,spread,trump
51.3,10/21 - 10/29,--,RCPÂ Average,--,Biden +7.8,43.5
49,10/25 - 10/28,2.0,The Hill/HarrisX,2359 LV,Biden +4,45
51,10/25 - 10/29,3.2,IBD/TIPP,959 LV,Biden +7,44
49,10/27 - 10/29,2.5,Rasmussen Reports,1500 LV,Biden +3,46
54,10/25 - 10/27,3.2,Economist/YouGov,1365 LV,Biden +11,43
50,10/25 - 10/26,2.8,Emerson,1121 LV,Biden +5,45
52,10/23 - 10/27,3.1,USA Today/Suffolk,1000 LV,Biden +8,44
52,10/23 - 10/27,3.9,Reuters/Ipsos,825 LV,Biden +10,42
54,10/23 - 10/26,3.8,CNN,886 LV,Biden +12,42
51,10/23 - 10/24,2.8,JTN/RMG Research*,1842 LV,Biden +7,44
51,10/21 - 10/24,3.5,CNBC,800 RV,Biden +11,40
54,10/16 - 10/29,--,USC Dornsife,5330 LV,Biden +12,42
52,10/18 - 10/20,3.2,Economist/YouGov,1344 LV,Biden +9,43
51,10/16 - 10/20,3.6,Reuters/Ipsos,949 LV,Biden +9,42
51,10/16 - 10/19,2.6,Quinnipiac,1426 LV,Biden +10,41
49,10/14 - 10/20,2.0,Rasmussen Reports,2500 LV,Biden +3,46
52,10/17 - 10/18,1.9,CNBC/Change Research (D)*,2711 LV,Biden +10,42
53,10/16 - 10/19,3.6,SurveyUSA,1136 LV,Biden +10,43
50,10/15 - 10/18,3.4,NY Times/Siena*,987 LV,Biden +9,41
51,10/15 - 10/17,2.8,JTN/RMG Research*,1265 LV,Biden +8,43
46,10/13 - 10/15,2.3,The Hill/HarrisX,1897 RV,Biden +4,42
52,10/11 - 10/13,4.3,Economist/YouGov,1333 LV,Biden +10,42
47,10/10 - 10/13,1.8,The Hill/HarrisX,2855 RV,Biden +7,40
51,10/9 - 10/13,3.8,Reuters/Ipsos,882 LV,Biden +10,41
53,10/9 - 10/12,3.1,NBC News/Wall St. Jrnl,1000 RV,Biden +11,42
54,10/8 - 10/13,3.9,NPR/PBS/Marist,819 LV,Biden +11,43
50,10/7 - 10/13,2.0,Rasmussen Reports,2500 LV,Biden +5,45
51,10/8 - 10/10,2.8,JTN/RMG Research*,1240 LV,Biden +8,43
55,10/6 - 10/9,4.0,ABC News/Wash Post,725 LV,Biden +12,43
51,10/4 - 10/6,4.8,Economist/YouGov,1364 LV,Biden +9,42
45,10/3 - 10/6,1.8,The Hill/HarrisX,2841 RV,Biden +5,40
53,10/3 - 10/6,3.0,FOX News,1012 LV,Biden +10,43
52,10/2 - 10/6,3.8,Reuters/Ipsos,882 LV,Biden +12,40
52,10/2 - 10/4,2.1,CNBC/Change Research (D)*,2167 LV,Biden +10,42
52,9/30 - 10/6,2.0,Rasmussen Reports,2500 LV,Biden +12,40
53,10/1 - 10/4,3.6,SurveyUSA,1114 LV,Biden +10,43
57,10/1 - 10/4,3.6,CNN,1001 LV,Biden +16,41
51,10/1 - 10/3,3.5,JTN/RMG Research*,763 LV,Biden +8,43
47,9/30 - 10/1,3.2,The Hill/HarrisX,928 RV,Biden +7,40
53,9/30 - 10/1,3.5,NBC News/Wall St. Jrnl,800 RV,Biden +14,39
49,9/30 - 10/1,3.5,IBD/TIPP,1030 LV,Biden +3,46
54,9/29 - 9/30,3.2,CNBC/Change Research (D),925 LV,Biden +13,41
50,9/27 - 9/30,4.0,Economist/YouGov,1350 LV,Biden +8,42
51,9/25 - 9/29,3.8,Reuters/Ipsos,864 LV,Biden +9,42
51,9/23 - 9/29,2.0,Rasmussen Reports,3000 LV,Biden +8,43
50,9/24 - 9/27,3.5,Monmouth*,809 LV,Biden +5,45
51,9/24 - 9/26,3.6,JTN/RMG Research*,752 LV,Biden +6,45
45,9/22 - 9/25,1.9,The Hill/HarrisX,2768 RV,Biden +5,40
49,9/22 - 9/24,3.5,NY Times/Siena,950 LV,Biden +8,41
47,9/22 - 9/24,--,Harvard-Harris,LV,Biden +2,45
48,9/22 - 9/23,3.0,Emerson,1000 LV,Biden +4,44
54,9/21 - 9/24,4.0,ABC News/Wash Post,739 LV,Biden +10,44
49,9/20 - 9/22,3.6,Economist/YouGov,1124 LV,Biden +7,42
45,9/19 - 9/21,1.9,The Hill/HarrisX,2803 RV,Biden +5,40
50,9/18 - 9/22,3.7,Reuters/Ipsos,889 LV,Biden +8,42
48,9/16 - 9/22,2.5,Rasmussen Reports,3000 LV,Biden +1,47
51,9/18 - 9/20,2.6,CNBC/Change Research (D)*,1430 LV,Biden +9,42
52,9/17 - 9/21,2.7,Quinnipiac,1302 LV,Biden +10,42
50,9/17 - 9/19,2.8,JTN/RMG Research*,773 LV,Biden +6,44
50,9/16 - 9/19,3.3,IBD/TIPP,962 LV,Biden +6,44
51,9/13 - 9/16,3.1,NBC News/Wall St. Jrnl,1000 RV,Biden +8,43
51,9/13 - 9/15,3.8,Economist/YouGov,1062 LV,Biden +9,42
52,9/11 - 9/16,4.3,NPR/PBS/Marist,723 LV,Biden +9,43
46,9/9 - 9/15,2.0,Rasmussen Reports,2500 LV,Trump +1,47
50,9/11 - 9/15,3.8,Reuters/Ipsos,859 LV,Biden +9,41
45,9/10 - 9/14,1.6,The Hill/HarrisX,3758 RV,Biden +6,39
48,9/10 - 9/12,2.8,JTN/RMG Research*,941 LV,Biden +5,43
51,9/7 - 9/10,2.5,FOX News,1191 LV,Biden +5,46
52,9/6 - 9/8,3.8,Economist/YouGov,1057 LV,Biden +9,43
52,9/7 - 9/13,--,USC Dornsife,2648 LV,Biden +10,42
47,9/5 - 9/8,1.8,The Hill/HarrisX,2832 RV,Biden +8,39
49,9/4 - 9/6,2.3,CNBC/Change Research (D)*,1902 LV,Biden +6,43
51,9/3 - 9/8,3.6,Monmouth*,758 LV,Biden +7,44
52,9/3 - 9/8,3.9,Reuters/Ipsos,823 LV,Biden +12,40
48,9/2 - 9/8,2.0,Rasmussen Reports,2500 LV,Biden +2,46
52,9/2 - 9/4,--,CBS News/YouGov,2433 LV,Biden +10,42
52,8/31 - 9/6,--,USC Dornsife,2588 LV,Biden +10,42
53,8/31 - 9/2,--,Harvard-Harris,LV,Biden +6,47
51,8/30 - 9/1,3.6,Economist/YouGov,1207 RV,Biden +11,40
49,8/29 - 9/1,--,IBD/TIPP,1033 RV,Biden +8,41
51,8/28 - 9/1,4.0,CNN,997 RV,Biden +8,43
49,8/30 - 8/31,2.4,Emerson,1567 LV,Biden +2,47
47,8/28 - 9/1,3.4,Reuters/Ipsos,1089 RV,Biden +7,40
46,8/29 - 8/31,1.8,The Hill/HarrisX,2834 RV,Biden +6,40
50,8/28 - 8/31,3.1,USA Today/Suffolk,1000 RV,Biden +7,43
52,8/28 - 8/31,3.0,Quinnipiac,1081 LV,Biden +10,42
49,8/26 - 9/1,2.0,Rasmussen Reports,2500 LV,Biden +4,45
49,8/26 - 8/30,3.4,Grinnell/Selzer,827 LV,Biden +8,41
47,8/25 - 8/28,1.8,The Hill/HarrisX,2862 RV,Biden +9,38
50,8/23 - 8/25,3.8,Economist/YouGov,1254 RV,Biden +9,41
47,8/22 - 8/25,1.8,The Hill/HarrisX,2861 RV,Biden +9,38
46,8/19 - 8/25,2.0,Rasmussen Reports,2500 LV,Biden +1,45
51,8/21 - 8/23,2.0,CNBC/Change Research (D)*,2362 LV,Biden +8,43
52,8/20 - 8/22,3.7,CBS News/YouGov,934 LV,Biden +10,42
50,8/16 - 8/18,3.4,Economist/YouGov,1246 RV,Biden +10,40
46,8/15 - 8/18,1.8,The Hill/HarrisX,2840 RV,Biden +8,38
48,8/12 - 8/18,2.0,Rasmussen Reports,2500 LV,Biden +4,44
45,8/11 - 8/14,1.8,The Hill/HarrisX,2823 RV,Biden +6,39
50,8/12 - 8/15,4.0,CNN,987 RV,Biden +4,46
54,8/12 - 8/15,--,ABC News/Wash Post,707 LV,Biden +10,44
52,8/12 - 8/14,2.4,CBS News/YouGov,2152 LV,Biden +10,42
50,8/9 - 8/12,3.3,NBC News/Wall St. Jrnl,900 RV,Biden +9,41
49,8/9 - 8/12,3.0,FOX News,1000 RV,Biden +7,42
49,8/9 - 8/11,3.6,Economist/YouGov,1208 RV,Biden +10,39
44,8/8 - 8/11,1.8,The Hill/HarrisX,2828 RV,Biden +4,40
50,8/7 - 8/9,2.1,CNBC/Change Research (D)*,2143 LV,Biden +6,44
51,8/6 - 8/10,3.5,Monmouth*,785 RV,Biden +10,41
49,8/5 - 8/11,2.0,Rasmussen Reports,2500 LV,Biden +6,43
53,8/3 - 8/11,3.6,NPR/PBS/Marist,1108 RV,Biden +11,42
43,8/2 - 8/5,1.8,The Hill/HarrisX,2850 RV,Biden +3,40
53,8/1 - 8/6,3.1,GU Politics/Battleground,1000 LV,Biden +13,40
49,8/2 - 8/4,3.3,Economist/YouGov,1229 RV,Biden +9,40
48,7/29 - 8/4,2.0,Rasmussen Reports,2500 LV,Biden +3,45
50,7/29 - 7/30,3.1,Emerson,964 LV,Biden +4,46
49,7/26 - 7/28,3.4,Economist/YouGov,1260 RV,Biden +9,40
48,7/25 - 7/28,3.1,IBD/TIPP,1160 RV,Biden +7,41
48,7/22 - 7/28,2.0,Rasmussen Reports,2500 LV,Biden +6,42
51,7/24 - 7/26,3.0,CNBC/Change Research (D)*,1039 LV,Biden +9,42
51,7/21 - 7/24,--,CBS News/YouGov,1401 LV,Biden +10,41
55,7/21 - 7/23,--,Harvard-Harris,1932 RV,Biden +10,45
48,7/19 - 7/21,3.2,Economist/YouGov,1222 RV,Biden +7,41
47,7/15 - 7/21,2.0,Rasmussen Reports,2500 LV,Biden +2,45
45,7/17 - 7/20,1.8,The Hill/HarrisX,2829 RV,Biden +7,38
49,7/12 - 7/15,3.0,FOX News,1104 RV,Biden +8,41
54,7/12 - 7/15,--,ABC News/Wash Post,673 LV,Biden +10,44
49,7/12 - 7/14,3.3,Economist/YouGov,1252 RV,Biden +9,40
51,7/10 - 7/12,2.8,CNBC/Change Research (D)*,1258 LV,Biden +10,41
47,7/8 - 7/14,2.0,Rasmussen Reports,1500 LV,Biden +3,44
52,7/9 - 7/13,2.8,Quinnipiac,1273 RV,Biden +15,37
51,7/9 - 7/12,3.3,NBC News/Wall St. Jrnl,900 RV,Biden +11,40
49,7/5 - 7/7,3.6,Economist/YouGov,1165 RV,Biden +9,40
50,7/5 - 7/7,2.5,Rasmussen Reports,1500 LV,Biden +10,40
43,7/3 - 7/4,3.2,The Hill/HarrisX,933 RV,Biden +4,39
49,6/28 - 6/30,3.4,Economist/YouGov,1198 RV,Biden +9,40
48,6/27 - 6/30,3.1,IBD/TIPP,1005 RV,Biden +8,40
53,6/26 - 6/30,3.6,Monmouth,733 RV,Biden +12,41
49,6/26 - 6/28,1.6,CNBC/Change Research (D),1663 LV,Biden +8,41
53,6/25 - 6/29,3.1,USA Today/Suffolk,1000 RV,Biden +12,41
52,6/22 - 6/24,3.5,NPR/PBS/Marist,1515 RV,Biden +8,44
43,6/22 - 6/23,3.2,The Hill/HarrisX,951 RV,Biden +4,39
49,6/21 - 6/23,3.3,Economist/YouGov,1230 RV,Biden +8,41
47,6/19 - 6/22,3.5,CNBC,800 RV,Biden +9,38
50,6/17 - 6/22,3.0,NY Times/Siena,1337 RV,Biden +14,36
56,6/17 - 6/18,--,Harvard-Harris,LV,Biden +12,44
50,6/14 - 6/16,3.5,Economist/YouGov,1160 RV,Biden +9,41
50,6/13 - 6/16,2.5,FOX News,1343 RV,Biden +12,38
49,6/11 - 6/15,2.7,Quinnipiac,1332 RV,Biden +8,41
51,6/10 - 6/12,2.8,CNBC/Change Research (D),1250 LV,Biden +10,41
49,6/7 - 6/9,3.4,Economist/YouGov,1241 RV,Biden +8,41
55,6/2 - 6/5,3.6,CNN,1125 RV,Biden +14,41
50,6/2 - 6/3,4.0,NPR/PBS/Marist,958 RV,Biden +7,43
53,6/2 - 6/3,2.5,Emerson,1431 RV,Biden +6,47
47,6/1 - 6/4,1.8,The Hill/HarrisX,2827 RV,Biden +10,37
45,5/31 - 6/3,2.9,IBD/TIPP,964 RV,Biden +3,42
49,5/28 - 6/2,3.1,NBC News/Wall St. Jrnl,1000 RV,Biden +7,42
47,5/31 - 6/2,3.2,Economist/YouGov,1244 RV,Biden +7,40
48,5/29 - 5/31,2.6,CNBC,1457 LV,Biden +7,41
52,5/28 - 6/1,3.6,Monmouth,742 RV,Biden +11,41
47,5/29 - 6/1,2.6,CBS News/YouGov,1486 LV,Biden +4,43
53,5/25 - 5/28,4.0,ABC News/Wash Post,835 RV,Biden +10,43
45,5/23 - 5/26,3.4,Economist/YouGov,1157 RV,Biden +3,42
48,5/17 - 5/20,3.0,FOX News,1207 RV,Biden +8,40
48,5/18 - 5/19,3.0,Rasmussen Reports,1000 LV,Biden +5,43
47,5/17 - 5/19,3.2,Economist/YouGov,1235 RV,Biden +5,42
48,5/15 - 5/17,2.6,CNBC,1424 LV,Biden +3,45
50,5/14 - 5/18,2.7,Quinnipiac,1323 RV,Biden +11,39
42,5/13 - 5/14,3.2,The Hill/HarrisX,950 RV,Biden +1,41
53,5/13 - 5/14,2.0,Harvard-Harris,1854 RV,Biden +6,47
47,5/10 - 5/12,3.4,Economist/YouGov,1175 RV,Biden +4,43
51,5/7 - 5/10,3.7,CNN,1001 RV,Biden +5,46
46,5/3 - 5/5,3.3,Economist/YouGov,1209 RV,Biden +4,42
47,5/1 - 5/3,2.5,CNBC,1489 LV,Biden +3,44
50,4/30 - 5/4,3.6,Monmouth,739 RV,Biden +9,41
49,4/28 - 5/1,2.5,CBS News/YouGov,1671 LV,Biden +6,43
43,4/26 - 4/29,3.3,IBD/TIPP,948 RV,Tie ,43
48,4/26 - 4/28,2.8,Emerson,1200 RV,Biden +6,42
47,4/26 - 4/28,3.2,Economist/YouGov,1222 RV,Biden +6,41
50,4/21 - 4/25,3.0,USA Today/Suffolk,1000 RV,Biden +10,40
48,4/19 - 4/21,3.4,Economist/YouGov,1144 RV,Biden +6,42
42,4/19 - 4/20,3.2,The Hill/HarrisX,958 RV,Biden +2,40
49,4/13 - 4/15,3.3,NBC News/Wall St. Jrnl,900 RV,Biden +7,42
53,4/14 - 4/16,--,Harvard-Harris,LV,Biden +6,47
48,4/12 - 4/14,3.4,Economist/YouGov,1166 RV,Biden +5,43
48,4/3 - 4/7,3.6,Monmouth,743 RV,Biden +4,44
42,4/4 - 4/7,3.0,FOX News,1107 RV,Tie ,42
48,4/5 - 4/7,3.3,Economist/YouGov,1147 RV,Biden +6,42
44,4/3 - 4/6,4.0,CNBC,604 RV,Biden +5,39
53,4/3 - 4/6,3.9,CNN,875 RV,Biden +11,42
49,4/2 - 4/6,2.2,Quinnipiac,2077 RV,Biden +8,41
47,3/29 - 4/1,3.2,IBD/TIPP,980 RV,Biden +6,41
46,3/29 - 3/31,3.2,Economist/YouGov,1194 RV,Biden +4,42
47,3/27 - 3/30,3.5,Grinnell/Selzer,777 LV,Biden +4,43
55,3/24 - 3/26,2.0,Harvard-Harris,2410 RV,Biden +10,45
49,3/22 - 3/25,3.5,ABC News/Wash Post,845 RV,Biden +2,47
46,3/22 - 3/24,3.4,Economist/YouGov,1170 RV,Biden +4,42
49,3/21 - 3/24,3.0,FOX News,1011 RV,Biden +9,40
48,3/18 - 3/22,3.6,Monmouth,754 RV,Biden +3,45
53,3/18 - 3/19,2.9,Emerson,1100 RV,Biden +6,47
48,3/15 - 3/17,3.5,Economist/YouGov,1129 RV,Biden +7,41
52,3/11 - 3/13,3.3,NBC News/Wall St. Jrnl,900 RV,Biden +9,43
47,3/8 - 3/10,2.9,Economist/YouGov,1191 RV,Biden +4,43
53,3/4 - 3/7,3.5,CNN,1084 RV,Biden +10,43
52,3/5 - 3/8,2.8,Quinnipiac,1261 RV,Biden +11,41
55,2/26 - 2/28,--,Harvard-Harris,2592 RV,Biden +10,45
49,2/20 - 2/29,3.5,IBD/TIPP,839 RV,Biden +3,46
49,2/23 - 2/26,3.0,FOX News,1000 RV,Biden +8,41
47,2/20 - 2/22,1.2,CBS News/YouGov,10000 RV,Biden +2,45
52,2/14 - 2/17,4.0,ABC News/Wash Post,913 RV,Biden +7,45
48,2/16 - 2/18,2.7,Emerson,1250 RV,Trump +4,52
52,2/14 - 2/17,3.3,NBC News/Wall St. Jrnl,900 RV,Biden +8,44
50,2/13 - 2/16,3.7,NPR/PBS/Marist,1164 RV,Biden +6,44
50,2/5 - 2/9,2.5,Quinnipiac,1519 RV,Biden +7,43
50,1/26 - 1/29,3.1,NBC News/Wall St. Jrnl,1000 RV,Biden +6,44
49,1/23 - 1/30,3.3,IBD/TIPP,856 RV,Biden +1,48
50,1/21 - 1/23,2.8,Emerson,1128 RV,Tie ,50
50,1/20 - 1/23,4.0,ABC News/Wash Post,880 RV,Biden +4,46
49,1/15 - 1/28,2.0,LA Times/USC,4869 RV,Biden +9,40
50,1/19 - 1/22,3.0,FOX News,1005 RV,Biden +9,41
53,1/16 - 1/19,3.6,CNN,1051 RV,Biden +9,44
48,1/3 - 1/11,3.3,IBD/TIPP,846 RV,Biden +2,46
52,12/15 - 12/17,2.7,Emerson,1222 RV,Biden +4,48
49,12/12 - 12/15,4.0,CNN,888 RV,Biden +5,44
41,12/10 - 12/14,3.0,USA Today/Suffolk,1000 RV,Trump +3,44
50,12/5 - 12/14,3.5,IBD/TIPP,849 RV,Biden +5,45
48,12/8 - 12/11,3.0,FOX News,1000 RV,Biden +7,41
51,12/4 - 12/9,2.5,Quinnipiac,1553 RV,Biden +9,42
52,11/20 - 11/21,1.7,SurveyUSA,3850 RV,Biden +13,39
49,11/17 - 11/20,2.9,Emerson,1092 RV,Trump +2,51
50,10/27 - 10/30,3.7,NBC News/Wall St. Jrnl,720 RV,Biden +9,41
56,10/27 - 10/30,4.0,ABC News/Wash Post,876 RV,Biden +17,39
51,10/27 - 10/30,3.0,FOX News,1040 RV,Biden +12,39
53,10/24 - 10/31,3.5,IBD/TIPP,863 RV,Biden +10,43
51,10/18 - 10/21,3.0,Emerson,1000 RV,Biden +2,49
53,10/17 - 10/20,4.0,CNN,892 RV,Biden +10,43
52,10/15 - 10/16,2.1,SurveyUSA,3080 RV,Biden +11,41
50,10/6 - 10/8,3.0,FOX News,1003 RV,Biden +10,40
51,10/4 - 10/7,3.1,Quinnipiac,1483 RV,Biden +11,40
51,9/26 - 10/3,3.5,IBD/TIPP,863 RV,Biden +7,44
43,9/23 - 9/24,3.0,Rasmussen Reports,1000 LV,Trump +4,47
50,9/21 - 9/23,3.0,Emerson,1019 RV,Biden +1,49
52,9/15 - 9/17,3.0,FOX News,1008 RV,Biden +14,38
49,9/13 - 9/16,1.6,SurveyUSA,4520 RV,Biden +8,41
55,9/2 - 9/5,4.0,ABC News/Wash Post,877 RV,Biden +15,40
54,8/22 - 8/30,3.5,IBD/TIPP,848 RV,Biden +12,42
54,8/24 - 8/26,2.5,Emerson,1458 RV,Biden +8,46
54,8/21 - 8/26,4.6,Quinnipiac,1422 RV,Biden +16,38
50,8/11 - 8/13,3.0,FOX News,1013 RV,Biden +12,38
50,8/1 - 8/5,1.6,SurveyUSA,5459 RV,Biden +8,42
54,7/25 - 8/1,3.5,IBD/TIPP,856 RV,Biden +13,41
51,7/27 - 7/29,2.7,Emerson,1233 RV,Biden +2,49
49,7/21 - 7/23,3.0,FOX News,1004 RV,Biden +10,39
51,7/7 - 7/9,3.5,NBC News/Wall St. Jrnl,800 RV,Biden +9,42
53,7/6 - 7/8,2.9,Emerson,1100 RV,Biden +6,47
53,6/28 - 7/1,4.0,ABC News/Wash Post,875 RV,Biden +10,43
48,6/23 - 7/2,1.5,Rasmussen Reports,4500 LV,Biden +4,44
55,6/21 - 6/24,2.9,Emerson,1096 RV,Biden +10,45
49,6/9 - 6/12,3.0,FOX News,1001 RV,Biden +10,39
53,6/6 - 6/10,3.5,Quinnipiac,1214 RV,Biden +13,40
49,5/11 - 5/14,3.0,FOX News,1001 RV,Biden +11,38
54,5/10 - 5/13,3.0,Emerson,1006 RV,Biden +8,46
51,4/25 - 4/29,5.5,CNN,470 RV,Biden +6,45
43,4/25 - 4/26,3.1,The Hill/HarrisX,1000 RV,Biden +6,37
42,4/19 - 4/21,2.0,Politico/Morning Consult,1992 RV,Biden +8,34
53,4/11 - 4/14,3.2,Emerson,914 RV,Biden +6,47
53,3/27 - 3/28,3.4,PPP (D),846 RV,Biden +13,40
49,3/17 - 3/21,1.5,Rasmussen Reports,5000 LV,Biden +5,44
47,3/17 - 3/20,3.0,FOX News,1002 RV,Biden +7,40
55,3/17 - 3/18,2.8,Emerson,1153 RV,Biden +10,45
55,2/14 - 2/16,3.3,Emerson,1000 RV,Biden +10,45
53,1/19 - 1/21,3.6,PPP (D),760 RV,Biden +12,41
53,6/8 - 6/10,3.8,PPP (D),679 RV,Biden +14,39
56,3/23 - 3/25,3.4,PPP (D),846 RV,Biden +17,39
51,2/9 - 2/11,3.7,PPP (D),687 RV,Biden +9,42
57,1/14 - 1/18,3.8,CNN,918 RV,Biden +17,40
54,12/11 - 12/12,3.3,PPP (D),862 RV,Biden +14,40
56,10/27 - 10/29,4.1,PPP (D),572 RV,Biden +18,38
51,10/12 - 10/14,3.4,Emerson,820 RV,Biden +9,42
53,9/22 - 9/25,3.3,PPP (D),865 RV,Biden +13,40
51,8/18 - 8/21,3.3,PPP (D),887 RV,Biden +12,39
54,7/14 - 7/17,3.4,PPP (D),836 RV,Biden +15,39
54,6/9 - 6/11,3.4,PPP (D),811 RV,Biden +13,41
54,5/12 - 5/14,3.7,PPP (D),692 RV,Biden +14,40
54,4/17 - 4/18,3.9,PPP (D),648 RV,Biden +14,40
54,3/27 - 3/28,3.8,PPP (D),677 RV,Biden +14,40
